"dummy","w5_1"
"w4_1","-0.0653382390737534"
"w4_2","0.0248439349234104"
"w4_3","0.0270932149142027"
"w4_4","0.0326409563422203"
"w4_5","0.0218576844781637"
"w4_6","-0.033170759677887"
"w4_7","-0.0249197985976934"
"w4_8","-0.0332946367561817"
"w4_9","-0.0374134667217731"
"w4_10","-0.0364151038229465"
"w4_11","0.0505385883152485"
"w4_12","0.0528010129928589"
"w4_13","0.0263816509395838"
"w4_14","0.0337212421000004"
"w4_15","0.0307238642126322"
"w4_16","0.0273130126297474"
"w4_17","-0.0383697487413883"
"w4_18","0.0369040668010712"
"w4_19","0.0288073550909758"
"w4_20","0.0308103635907173"
"w4_21","-0.0409541316330433"
"w4_22","-0.0512244515120983"
"w4_23","0.0267433300614357"
"w4_24","0.0215087570250034"
"w4_25","-0.0243980176746845"
"w4_26","-0.0353097431361675"
"w4_27","-0.0395416878163815"
"w4_28","0.0522001460194588"
"w4_29","0.018364978954196"
"w4_30","0.0313541367650032"
"w4_31","0.0167694948613644"
"w4_32","-0.0389358922839165"
"w4_33","-0.0437183864414692"
"w4_34","0.0176733527332544"
"w4_35","0.0264954417943954"
